,accuracy,precision,recall,f1_score,roc_auc
LogisticRegression,0.8048261178140526,0.6551724137931034,0.5588235294117647,0.6031746031746031,0.8419954015861943
DecisionTree,0.7970191625266146,0.6746031746031746,0.45454545454545453,0.5431309904153354,0.8277635691957942
RandomForest,0.7899219304471257,0.6344827586206897,0.4919786096256685,0.5542168674698795,0.825567697434705
GradientBoosting,0.7991483321504613,0.6542372881355932,0.516042780748663,0.5769805680119582,0.8427859154201864
KNN,0.7785663591199432,0.5870786516853933,0.5588235294117647,0.5726027397260274,0.8230321113952828
SVM,0.794889992902768,0.6545454545454545,0.48128342245989303,0.5546995377503852,0.7949404531245964
